Alloys (compostion);Tg(K);Tx(K);Tl(K);Dmax (mm)
Ca60 Zn25 Mg15;379;427;650;6
Ca60 Cu25 Mg15;396;428;678;1
Ca62.5 Zn20 Mg17.5;375;412;640;10
Ca60 Mg20 Al10 Zn10;403;449;746;6
Ca60 Mg9 Al11Cu20;401;450;755;2
Ca60 Mg15 Cu25;396;428;687;1
Ca60 Mg13 Cu27;394;426;701;1
Ca65 Cu20 Mg15;383;409;682;4
Ca65 Cu30 Mg5;403;424;757;0.5
Ca65 Mg20 Zn15;380;405;668;5
Ca65 Mg25 Zn10;387;405;759;0.5
Ca65 Zn25 Mg10;377;412;659;2
Ca70 Cu20 Mg10;385;407;713;1
Ca70 Mg20 Cu10;356;385;702;0.5
Ce70 Ga10 Cu20;367;425;685;10
Ce70 Ga11 Cu19;375;422;648;8
Ce70 Al10 Cu20;341;408;722;2
;;;;
Ce70 Ga12 Cu18;386;418;681;8
Ce70 Al10 Ni10 Cu10;359;377;714;3
Ce65 Al10 Ni10 Cu10 Nb5;359;384;702;5
Ce65 Al12.5 Ni12.5 Cu10;371;402;709;3
(Ce60 La40)65 Co25 Al10;425;448;789;12
Co40 Fe27 B24 Zr3 Ti3 Mo1.5 Si1.5;811;856;1379;1.5
Co48Cr15C15Mo14B6 Er2;848;933;1394;10
[(Co60 Fe40)75 B20 Si5]96 Nb4;823;865;1418;4
[(Co80 Fe20)75 B20 Si5]96 Nb4;813;853;1445;2.5
Cu33.3 Mg33.3 Ca33.3;391;406;731;3
Cu36 Zr36 Al8 Ag8;670;771;1146;25
Cu36.4 Mg31.8 Ca31.8;388;400;742;8
Cu38 Zr38 Al8 Ag8;690;784;1148;20
Cu40 Zr30 Ag20 Ti10;677;708;1125;3
Cu40.9 Ca31.8 Mg27.3;391;430;745;4
Cu40.9 Ca40.9 Mg18.2;393;431;717;3
Cu40.9 Mg36.4 Ca22.7;394;414;821;1.5
Cu42 Zr42 Ag16;685;757;1232;2
Cu43 Zr40 Ti10 Ag7;656;707;1095;7
Cu43 Zr43 Ag7 Ti7;670;714;1118;5
Cu43 Zr43 Al7 Be7;710;813;1126;12
Cu44 Zr44 Ag12;684;764;1156;4
Cu45 Ca30 Mg25;387;430;798;2.5
Cu45 Zr25 Ag10 Hf20;698;783;1218;3
Cu45 Zr30 Ag15 Ti10;687;717;1121;5
Cu45 Zr45 Ag10;683;756;1159;6
Cu45 Zr45 Ag5 Al5;697;783;1147;9
Cu45.5 Ca31.8 Mg22.7;388;427;793;3
Cu45.5 Mg27.3 Ca27.2;395;410;831;1.5
Cu45.5 Mg36.4 Ca18.1;391;420;851;2
Cu46 Zr42 Al7 Y5;672;772;1113;10
Cu46 Zr46 Ag8;677;745;1167;4
Cu46 Zr47 Al7;705;781;1163;3
Cu50 Hf45 Al5;763;854;1250;2
Cu47 Zr30 Ni13 Ti10;727;754;1251;1
Cu47 Ti33 Zr11 Ni8 Si1;720;757;1157;4
Cu47 Ti33 Nb8 Ni8 Zr3 Si1;708;731;1228;1
Cu47 Ti33 Ni8 Zr7 Nb4 Si1;713;736;1172;5
Cu47 Ti34 Zr11 Ni8;698;727;1169;4.5
Cu47 Zr43 Al7 Be3;715;798;1139;6
Cu48 Zr48 Al4;410;470;918;2
Cu49 Zr36 Ag10 Ti5;691;737;1130;8
Cu50 Ca31.8 Mg18.2;392;421;828;2
Cu50 Zr42.5 Ti7.5;677;717;1152;5
(Cu50 Zr42.5 Ti7.5)99 Si1;683;731;1141;6
Cu50 Zr43 Al7;713;781;1205;10
(Cu50 Zr43 Al7)98.5 Si1.5;737;798;1243;4
(Cu50 Zr43 Al7)99.5 Si0.5;719;791;1214;10
Cu40 Zr44 Al8 Ag8;702;772;1166;15
